global_idx,err
5503092,0.0066848807
5263946,0.006660971
5264231,0.0066170935
5264516,0.006530572
935353,0.0065095774
1291797,0.006224674
1292082,0.0061876085
935358,0.0061837654
6050053,0.006159018
694531,0.00610334
923862,0.006095022
6049483,0.006094418
5522439,0.0060289586
6049768,0.0060055484
935638,0.0059760297
935643,0.005965564
2666400,0.005923013
5522154,0.0059076576
2666376,0.005889102
555357,0.005886835
2666685,0.0058840374
923577,0.005882302
2666661,0.0058755716
4445460,0.0058699087
1278211,0.005821492
923292,0.00581396
7215568,0.0057946974
7216138,0.005787167
7215853,0.0057620066
4445745,0.0057596825
7215858,0.00575823
3086112,0.005754822
5031276,0.005740482
7215543,0.0057343156
4647070,0.005732803
4955333,0.0057099503
3086397,0.005703606
5071072,0.005699664
7216143,0.0056908634
3259477,0.0056532254
4348201,0.0056359433
4955048,0.005632848
1292367,0.00562466
4955618,0.005623563
4537617,0.0056224475
1096464,0.0056054234
1519038,0.005603142
5522467,0.00560262
1021866,0.005594413
5502807,0.0055928053
4938457,0.005589569
5071357,0.0055893995
5522472,0.0055848802
4938474,0.005582425
935760,0.0055821007
3327819,0.005578863
4938742,0.0055781007
1683483,0.0055711637
5121012,0.0055607692
1291512,0.005555092
7215837,0.0055490793
7216122,0.0055471696
5522187,0.00553673
6632157,0.0055321525
3953962,0.0055241534
4355241,0.005518905
5522182,0.0055131796
935475,0.0055053174
4355062,0.0055031744
4938921,0.005500052
163426,0.0054987855
3367135,0.005496128
6049482,0.005495949
4938477,0.0054949373
6313435,0.0054942775
6632442,0.005493959
5323838,0.005492307
6632467,0.0054890574
6632182,0.005480508
6086772,0.0054785185
4455852,0.005477714
5515585,0.0054737115
5502782,0.0054733837
4825492,0.0054702624
7215577,0.005469236
4938636,0.0054677958
956269,0.005465218
1834638,0.0054648193
6313150,0.0054643503
955414,0.005464071
4355367,0.005461915
4938759,0.005460081
5323553,0.005458155
955984,0.005456214
6049767,0.005448864
4354777,0.00544859
4938478,0.0054483847
3034902,0.005448004
3954202,0.0054477477
6050070,0.0054471926
4347606,0.005447166
5233939,0.005444402
7215862,0.005441189
694556,0.0054402663
4537642,0.005435938
4106433,0.005435506
3953917,0.0054351278
4348176,0.0054328316
955699,0.005432807
4825497,0.0054322835
4647075,0.005430277
4938763,0.0054300264
1096749,0.0054298528
4931856,0.0054288805
3954487,0.005418709
3927186,0.005418475
4698199,0.005414713
2717892,0.0054137437
4355347,0.005411639
4938762,0.005410625
3771042,0.0054050745
5503067,0.005404437
5070787,0.0054013906
4347891,0.0053977715
6632173,0.0053947982
3764808,0.0053921994
7215318,0.0053910958
1890460,0.0053845374
4354956,0.0053840238
3366850,0.0053833383
3765093,0.005379429
5690404,0.0053771203
7216111,0.0053733354
6632458,0.0053714504
5230465,0.0053617125
694581,0.005358156
7304871,0.005353036
6105834,0.0053526284
2717607,0.0053516864
4866597,0.0053484845
5230180,0.005346503
3954247,0.005346438
4938452,0.0053457823
4931313,0.0053435797
1024287,0.0053397613
5521902,0.0053389734
4283202,0.0053388304
7216147,0.005336973
4020615,0.0053356136
4938351,0.0053289137
5522422,0.005328846
3366565,0.0053262804
3802900,0.0053255325
4349058,0.005324086
6106119,0.0053216433
5324123,0.0053213607
4603440,0.005317538
5121037,0.005314942
2258965,0.0053129112
4348773,0.005311659
1024572,0.0053093685
1096159,0.005309207
3954532,0.005306104
4354671,0.0053044274
4931883,0.005304032
5560532,0.0053033233
3187907,0.0053016897
6105576,0.005300787
3085827,0.005300603
5503097,0.00529962
2259250,0.005297532
3771327,0.005297349
6050049,0.0052967966
4355342,0.0052956175
3187622,0.0052926876
7215826,0.00529219
7215541,0.0052917213
5522181,0.005290208
3803185,0.0052892887
1890745,0.005289187
3771561,0.0052883187
2782602,0.005286608
7215603,0.005285808
3954507,0.005285711
5522137,0.0052781557
5817619,0.005277098
4939047,0.005274616
3953912,0.0052733473
4939027,0.0052707396
1719430,0.0052678906
1278236,0.005267094
6050058,0.005267024
3035187,0.005266701
3435560,0.0052646096
5324128,0.005264194
3765378,0.00526297
1277951,0.0052600037
5120967,0.0052582826
1975284,0.005256106
935352,0.0052543567
6049488,0.0052534696
4931596,0.005251957
4537647,0.0052518
3187932,0.005251638
3366280,0.005250448
694536,0.00525008
1695390,0.0052449284
4537357,0.0052448944
2110044,0.005242477
3771352,0.0052423826
1719145,0.00524075
1323919,0.0052400767
4939022,0.0052392874
3954222,0.005239266
3187337,0.0052379477
3771563,0.005236792
2783455,0.0052359095
6049458,0.0052349744
5522466,0.005234971
2783170,0.005232386
5194002,0.0052323034
4938737,0.0052321213
4938642,0.005230993
4931881,0.0052300883
3434395,0.005227758
4938353,0.005227457
164518,0.005226352
3454332,0.005225798
2603662,0.0052251993
4938792,0.0052247657
3079560,0.005224299
5192007,0.0052239867
4603725,0.0052213073
3803470,0.0052205482
7292452,0.0052174507
3771667,0.0052173566
3187362,0.005216215
5323843,0.005215383
1519033,0.0052131754
4020330,0.005212616
1291852,0.0052119154
935637,0.005211459
4537572,0.0052113384
3771067,0.005210114
4106148,0.0052073454
5654752,0.0052068485
3079275,0.00520592
5323558,0.005204671
3435275,0.0052046473
4354773,0.005203355
3771564,0.0052027376
4604010,0.0051953653
1095874,0.0051948717
5633079,0.005191794
7215888,0.005191151
2666665,0.0051911054
5522442,0.0051877457
6893701,0.005186587
1834614,0.005185324
4931598,0.005185228
1277666,0.0051851333
4283487,0.005184935
4354987,0.0051845396
3771279,0.0051816558
2603947,0.005178589
3187963,0.005177116
4938638,0.005175068
79044,0.005168419
3954482,0.005165691
3491869,0.00516548
3187647,0.0051641767
3954197,0.005163913
351679,0.0051618568
5817624,0.005159163
4266118,0.005158681
3187627,0.0051574213
7028207,0.0051563443
3865800,0.005156108
7027922,0.005153966
4938453,0.005153519
2227105,0.005153136
4105863,0.0051530898
352089,0.005152557
7215238,0.0051516076
2199205,0.005150471
1834329,0.0051482567
923892,0.005147914
7216432,0.0051459116
7339759,0.0051456266
1194093,0.0051441686
4939044,0.005143113
7215552,0.0051421523
2203143,0.005141814
3396180,0.005141754
3771068,0.00514101
3187912,0.0051389574
3771345,0.0051371763
1096444,0.005136386
4348206,0.005134839
5522157,0.005132657
4106172,0.0051294747
1695105,0.005129146
4105887,0.005128279
5655037,0.005127898
3770994,0.0051278374
164803,0.005127006
4354958,0.005126891
1292107,0.0051268633
4354673,0.005126639
3078990,0.005123607
352084,0.005123146
3771016,0.005120606
3034617,0.005119449
1607682,0.005119397
1534765,0.0051193885
3277404,0.0051180916
4354772,0.0051160166
3277119,0.005115545
4355243,0.0051137945
4938357,0.005113042
5502787,0.0051119514
4106457,0.0051114247
2666405,0.0051110173
4938507,0.0051100384
7215583,0.0051093367
6049773,0.005108956
6049500,0.0051077623
441177,0.005106787
5173711,0.005106539
4699278,0.005105947
694271,0.0051050135
2666690,0.005102409
4931311,0.005102354
3771022,0.0051006246
1465804,0.005100308
5690409,0.005099766
3187342,0.005099673
3771303,0.005098454
4354702,0.005098204
5264236,0.005098127
2782885,0.0050972286
4355247,0.00509614
5233944,0.0050951224
3259482,0.005093211
2604232,0.005091965
5173996,0.0050908765
694816,0.0050900863
7215208,0.0050900443
1324204,0.0050893365
935631,0.005088013
4355057,0.0050879633
3771353,0.005087943
555387,0.005086781
941282,0.0050867787
2666380,0.005084339
3770737,0.005083687
6105583,0.0050813165
4919412,0.005081081
935074,0.005079406
5633129,0.00507702
5522443,0.005076588
4919387,0.0050764475
5522158,0.005076446
2202858,0.005075711
6049785,0.0050749304
1834353,0.0050748014
3187057,0.0050743897
5995260,0.005073496
4449480,0.005072151
1660587,0.0050718524
694561,0.0050712777
351799,0.005070914
2202573,0.005067565
3771637,0.0050660525
4537592,0.005065964
5633364,0.0050655757
6105582,0.005063626
940142,0.005062877
5230775,0.0050626094
2782600,0.0050618895
3771307,0.0050612213
3771592,0.0050607445
934789,0.0050604646
5515561,0.005060455
5263951,0.0050598923
3803755,0.0050591603
1683478,0.0050590513
6049743,0.0050556134
7028497,0.005055031
1466089,0.0050544175
4355346,0.0050540455
3771018,0.005053897
935354,0.0050537116
5120422,0.005052927
923322,0.0050519975
3866085,0.0050511216
1292137,0.005049339
3770732,0.0050482024
3771017,0.0050481684
1291822,0.0050466587
1324489,0.0050457953
5411580,0.005044215
1193518,0.005041991
5193997,0.0050415434
935644,0.0050401674
2782887,0.0050401515
3434680,0.005039482
4354982,0.005039453
935069,0.005039443
693986,0.005039173
4938634,0.0050390386
3187393,0.005038351
5192027,0.0050373306
5264521,0.0050372416
5741337,0.005036146
2191077,0.0050343852
935458,0.005032593
4823787,0.0050319587
4106173,0.0050316453
495274,0.005031166
1834044,0.005030597
1193808,0.005030337
2109775,0.005029998
4105888,0.0050298097
3771382,0.005029014
3395895,0.0050269086
4354697,0.0050261673
4354417,0.005025987
4349081,0.0050248383
4355343,0.0050238725
7215828,0.00502245
3491874,0.0050220857
1834024,0.0050210566
6893986,0.0050203507
923607,0.0050195144
5120417,0.005017601
2774472,0.0050171474
4938894,0.0050171223
4698194,0.0050169495
6172399,0.0050162044
6313720,0.0050160233
83136,0.0050156177
4354959,0.005014922
934784,0.0050146566
3187884,0.0050137844
7216113,0.0050134035
5503072,0.0050121928
4355082,0.005012186
935453,0.005010884
555412,0.005009922
4938483,0.0050089937
923867,0.005008797
923347,0.0050069056
5120791,0.0050068265
5743642,0.0050065583
4938508,0.0050047874
2485614,0.0050027925
3771060,0.005002244
3187678,0.005001744
351964,0.005001218
923917,0.005000939
2666397,0.004999644
7215298,0.0049984865
3771302,0.004997794
3922669,0.004997588
935359,0.004997184
4355244,0.0049970644
1291827,0.0049957107
164513,0.0049954774
3771328,0.004993975
3771301,0.004992374
4537307,0.004991874
694821,0.0049910326
82851,0.0049894834
3034620,0.004989415
5522188,0.0049887076
555362,0.0049872147
3395890,0.0049861455
5120702,0.0049856245
2062893,0.0049842508
2604227,0.004983655
351829,0.0049829106
935895,0.004982651
352188,0.004981417
4355058,0.0049811164
6632178,0.004981004
4349072,0.004980872
5515566,0.004980684
4938349,0.004978173
3866370,0.004976969
4938793,0.004975332
4955623,0.0049748905
3771073,0.004974376
6617625,0.0049743163
5654467,0.0049729967
4354797,0.004972897
6631836,0.004972372
3187623,0.004972293
3771358,0.0049722283
4938354,0.0049711033
2485899,0.004968964
4824067,0.004967852
2666095,0.0049678
3771662,0.0049670697
4938768,0.0049657417
5120987,0.004965518
1291567,0.0049655153
4348796,0.004965346
4537312,0.0049645943
4938738,0.004963896
935466,0.004963874
4824072,0.0049636583
1326885,0.0049636425
3771589,0.004962542
935743,0.0049615623
4939053,0.00495977
5522473,0.0049595223
2109780,0.004957388
923632,0.0049569383
3771630,0.0049563404
5633414,0.0049553234
4354954,0.0049547222
4938639,0.004953361
5120992,0.00495183
3396175,0.0049517993
3771643,0.0049502775
4823782,0.004950014
1291802,0.004948304
1292087,0.0049466845
1521436,0.0049461676
2666682,0.0049452875
1292392,0.004945131
164798,0.004944879
3771638,0.004944876
3771097,0.0049441
4537597,0.0049437806
4931886,0.0049427417
6050052,0.0049421224
4590316,0.004941894
1292112,0.004941835
352186,0.0049414793
1096470,0.00494068
6756084,0.004937047
4986712,0.0049369377
923582,0.004935707
495820,0.0049349433
936180,0.0049329787
3187938,0.0049326937
4590031,0.004931007
3066460,0.0049302685
3279129,0.0049291993
861648,0.0049291975
3771304,0.004928466
5522460,0.0049282275
6709305,0.004927882
2604517,0.0049272287
3662670,0.004926401
7324509,0.0049259188
4455847,0.0049245926
923317,0.00492367
38152,0.004923285
2495595,0.0049227313
352105,0.0049214107
975217,0.0049213115
4931601,0.0049212985
4348511,0.004920423
78885,0.0049193273
1833739,0.004919105
3771072,0.0049181385
7215868,0.004917444
1194088,0.0049174163
3771324,0.0049173557
1519032,0.004916659
7216162,0.0049160933
4752571,0.0049159783
2495880,0.0049158037
163431,0.0049149487
3187653,0.004914747
5481933,0.0049145003
5521903,0.004913866
6632162,0.0049130428
1834309,0.004912086
5522175,0.0049120192
4354747,0.004910589
4938659,0.0049103214
6893991,0.0049102805
4354983,0.004909513
6632447,0.0049090846
1834923,0.0049080686
1193803,0.0049078916
1523822,0.0049059414
2666381,0.0049056606
5994900,0.0049053975
4355373,0.0049049873
6086777,0.004904947
4938924,0.004903948
4919392,0.004903668
923602,0.004902746
5522417,0.004902693
7215229,0.0049022594
2666666,0.00490187
4348787,0.0049016783
4354674,0.004901067
935610,0.0049008117
6173259,0.004900385
3187937,0.0048996783
1834594,0.0048984787
3187338,0.0048965313
3491844,0.004896396
3187908,0.004895307
7215514,0.0048947623
7215592,0.004894307
3771559,0.0048927995
4938495,0.004892705
7215877,0.0048923013
6689254,0.0048920903
1292422,0.004891419
163141,0.0048913136
5502812,0.0048912317
935478,0.0048908936
3434965,0.004890003
3187368,0.0048891627
5633065,0.004888607
4355526,0.0048885113
4938374,0.004888142
1275002,0.004887765
896012,0.004887733
5521869,0.00488754
5230470,0.004886926
4354412,0.0048866686
3922949,0.004885795
5522574,0.004885059
923297,0.004884741
3771333,0.004883828
768822,0.0048819385
768537,0.004881907
5633350,0.004880512
7215622,0.0048805065
3771048,0.004879719
7215337,0.0048788446
