global_idx,file,row,col,lat,lon,err
3522183,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1719,1671,40.345764861074834,49.85003039858778,0.0038631482
1544998,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,754,806,40.43245228599237,49.772326126511444,0.0038631058
2642394,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1290,474,40.38430258676356,49.742502059078674,0.0038630867
7161519,Baku_Sentinel_TimeSeries-0000002048-0000000000.tif,155,1711,40.30228640132345,49.853623659724256,0.0038630727
1539489,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,751,1441,40.4327217805776,49.82936914705303,0.0038630653
2100453,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1025,1253,40.40810794179273,49.81248081971158,0.0038629766
3435640,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1677,1144,40.34953778526813,49.80268918311468,0.003862949
728529,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,355,1489,40.468295065828734,49.83368106041681,0.0038628136
2644449,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1291,481,40.38421275523515,49.74313087977756,0.0038627642
1694796,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,827,1100,40.425894584418295,49.798736595864554,0.0038627603
1343647,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,656,159,40.44125577577674,49.71420512762891,0.0038627265
441462,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,215,1142,40.48087147980641,49.80250952005786,0.0038626792
4635084,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,340,1160,40.46964253875492,49.98810145775695,0.003862663
3790905,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1851,57,40.333907099324456,49.70504231173089,0.003862643
7327269,Baku_Sentinel_TimeSeries-0000002048-0000002048.tif,88,429,40.30830511372705,49.92243461048781,0.0038625423
463285,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,226,437,40.47988333299388,49.739178292527434,0.0038624252
5611089,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1095,950,40.401819734803894,49.969236836790444,0.003862421
787878,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,384,1446,40.46568995150479,49.82981830469509,0.0038623898
3928233,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1918,169,40.327888386920854,49.715103442913026,0.0038623752
5578224,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1070,410,40.40406552301419,49.92072781144799,0.0038622844
1668540,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,814,1468,40.42706239428765,49.83179459832015,0.0038622618
6550116,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1821,1259,40.33660204517682,49.99699477906973,0.0038621726
3264330,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1593,1866,40.35708363365474,49.86754754662811,0.0038621284
3879939,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1894,1027,40.330044343602744,49.79217889429049,0.0038621067
3542952,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1729,1960,40.344866545790715,49.875991710298834,0.0038620613
4584630,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,301,1133,40.473145968362985,49.985676006489825,0.0038619135
5121222,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,716,1130,40.43586588407202,49.98540651190459,0.003861795
2249365,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1098,661,40.401550240218654,49.75930055489171,0.0038616993
1518741,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,741,1173,40.43362009586173,49.80529429743863,0.0038616816
499185,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,243,1521,40.478356197010875,49.83655566932599,0.0038616515
5411466,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,941,449,40.415653790179334,49.92423124105605,0.0038615845
1811046,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,884,614,40.42077418729882,49.75507847305635,0.0038615135
7391268,Baku_Sentinel_TimeSeries-0000002048-0000002048.tif,137,1071,40.30390336883487,49.98010645172829,0.003861462
2386746,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1165,826,40.39553152781506,49.77412275707968,0.0038614005
662108,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,323,604,40.47116967473792,49.754180157772225,0.0038613926
56527,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,27,1231,40.49775980714786,49.81050452608652,0.0038613465
6774864,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1995,1025,40.320971359233134,49.97597420142134,0.0038613006
2108757,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1029,1365,40.40774861567908,49.82254195089372,0.0038612597
4752933,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,432,53,40.461378038141014,49.888657955804916,0.0038611726
4585200,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,302,410,40.47305613683457,49.92072781144799,0.003861048
2074860,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1013,236,40.40918592013367,49.72112215531663,0.0038610313
1545252,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,754,1060,40.43245228599237,49.79514333472808,0.0038610275
6586230,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,1849,1169,40.33408676238128,49.98890994151266,0.0038608706
3859579,Baku_Sentinel_TimeSeries-0000000000-0000000000.tif,1884,1147,40.33094265888686,49.80295867769992,0.0038608655
6781965,Baku_Sentinel_TimeSeries-0000000000-0000002048.tif,2001,368,40.32043237006266,49.91695488725468,0.0038608396
